Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
1652215402.817062,-86205.8950908059,-14943.392866062268,-15549.438065223465,-16005.726576534104,-181806.3177831552,-187500.02235174447,-184412.0170965215,-187500.02235174447
1652215402.824055,-86222.54714042511,-14941.29180208347,-15547.02407682229,-16003.491402088572,-181806.27307966628,-187500.02235174447,-184411.90533779925,-187500.02235174447
1652215402.824064,-86253.28078905116,-14938.654296237744,-15544.02894306528,-16000.675082287204,-181805.7589895438,-187500.02235174447,-184411.23478546558,-187500.02235174447
1652215402.832073,-86233.0077568302,-14935.189775847171,-15540.229146507878,-15997.054099685443,-181804.37318138758,-187500.02235174447,-184409.73721858708,-187500.02235174447
1652215402.840204,-86193.10989297747,-14933.133415357283,-15537.83750985116,-15994.863628728823,-181804.39553313205,-187500.02235174447,-184409.78192207598,-187500.02235174447
1652215402.840214,-86202.8999570489,-14930.33944730037,-15534.641210394051,-15991.823791482902,-181803.54616684275,-187500.02235174447,-184408.95490753115,-187500.02235174447
1652215402.846791,-86232.49366670773,-14927.076092609894,-15531.02022779229,-15988.403974581239,-181802.22741391987,-187500.02235174447,-184407.5690993749,-187500.02235174447
1652215402.846802,-86223.12828578094,-14924.438586764169,-15528.069797524191,-15985.610006524326,-181801.62391681958,-187500.02235174447,-184406.98795401907,-187500.02235174447
1652215402.8549,-86181.62109632744,-14923.320999541404,-15526.549878901229,-15984.425364068195,-181802.67444880898,-187500.02235174447,-184407.94907903066,-187500.02235174447
1652215402.854917,-86179.63179107092,-14922.851612907842,-15525.767567845294,-15983.888922201268,-181804.3508296431,-187500.02235174447,-184409.5807563759,-187500.02235174447
1652215402.862814,-86215.48398917723,-14921.421101262702,-15523.979428288869,-15982.279596600485,-181804.93197499897,-187500.02235174447,-184410.09484649837,-187500.02235174447
1652215402.862828,-86216.84744558901,-14918.738891928066,-15520.984294531858,-15979.485628543573,-181804.39553313205,-187500.02235174447,-184409.4242941647,-187500.02235174447
1652215402.870143,-86172.65804680086,-14915.207316304126,-15517.16214623,-15975.819942452901,-181803.03207672026,-187500.02235174447,-184407.99378251957,-187500.02235174447
1652215402.87016,-86158.12941290492,-14912.882734880774,-15514.457585150909,-15973.249491840541,-181802.62974532007,-187500.02235174447,-184407.5690993749,-187500.02235174447
1652215402.878072,-86194.22748020024,-14912.681569180677,-15513.78703281725,-15972.802456951435,-181804.44023662095,-187500.02235174447,-184409.3795906758,-187500.02235174447
1652215402.878088,-86204.86691056096,-14909.194697045648,-15509.942532770936,-15969.092067371854,-181803.0991319536,-187500.02235174447,-184407.88202379728,-187500.02235174447
1652215402.884737,-86166.35485486446,-14906.534839455468,-15507.059157736203,-15966.387506292762,-181802.69680055344,-187500.02235174447,-184407.45734065265,-187500.02235174447
1652215402.884748,-86148.69697674477,-14905.730176655075,-15505.82981179116,-15965.426381281184,-181803.83673952066,-187500.02235174447,-184408.5749278754,-187500.02235174447
1652215402.891748,-86174.33442763501,-14902.891505109252,-15502.521753611774,-15962.431247524173,-181803.0991319536,-187500.02235174447,-184407.65850635275,-187500.02235174447
1652215402.899696,-86191.72408482124,-14899.89637135224,-15499.392509388032,-15959.391410278251,-181802.3168208977,-187500.02235174447,-184406.85384355235,-187500.02235174447
1652215402.899706,-86157.30239836007,-14896.744775384042,-15495.88328550855,-15956.06100035441,-181801.17688193047,-187500.02235174447,-184405.73625632958,-187500.02235174447
1652215402.907665,-86125.11588634443,-14894.643711405244,-15493.312834896189,-15953.803474164424,-181801.154530186,-187500.02235174447,-184405.78095981848,-187500.02235174447
1652215402.907677,-86148.85343895596,-14893.6155311603,-15491.859971506594,-15952.618831708292,-181802.1156551976,-187500.02235174447,-184406.76443657454,-187500.02235174447
1652215402.914273,-86175.78729102461,-14889.882789836263,-15487.881360993548,-15948.819035150891,-181800.5063295968,-187500.02235174447,-184405.021000507,-187500.02235174447
1652215402.914282,-86150.35100583447,-14886.686490379154,-15484.439192347432,-15945.555680460417,-181799.5005010963,-187500.02235174447,-184403.85870979534,-187500.02235174447
1652215402.922283,-86112.30833677153,-14884.674833378176,-15482.069907435169,-15943.432264737163,-181799.58990807415,-187500.02235174447,-184403.88106153978,-187500.02235174447
1652215402.92232,-86126.83697066749,-14884.831295589363,-15481.756983012794,-15943.365209503796,-181801.7580272863,-187500.02235174447,-184406.00447726305,-187500.02235174447
1652215402.930332,-86160.6328082839,-14882.998452544029,-15479.678270778451,-15941.420607736185,-181802.02624821977,-187500.02235174447,-184406.18329121868,-187500.02235174447
1652215402.930342,-86142.8855231864,-14878.975138542073,-15475.386735843033,-15937.196128034131,-181800.19340517445,-187500.02235174447,-184404.21633770663,-187500.02235174447
1652215402.937493,-86102.36181048892,-14877.18699898565,-15473.196264886412,-15935.229174522065,-181800.48397785236,-187500.02235174447,-184404.48455864008,-187500.02235174447
1652215402.937503,-86110.63195593738,-14875.555321640411,-15471.139904396523,-15933.373979732274,-181800.88630925256,-187500.02235174447,-184404.9762970181,-187500.02235174447
1652215402.944926,-86139.42100279582,-14870.995565771529,-15466.267224105266,-15928.68011339666,-181798.49467259584,-187500.02235174447,-184402.45054989465,-187500.02235174447
1652215402.944936,-86135.15181960486,-14869.922682037673,-15464.881415949038,-15927.383712218252,-181799.5005010963,-187500.02235174447,-184403.38932316177,-187500.02235174447
1652215402.952027,-86092.6164499064,-14868.581577370356,-15463.182683370434,-15925.930848828657,-181800.2604604078,-187500.02235174447,-184404.08222723988,-187500.02235174447
1652215402.961516,-86082.49110966816,-14864.379449412758,-15458.511168779276,-15921.572258659871,-181798.06998945118,-187500.02235174447,-184401.93645977217,-187500.02235174447
1652215402.961527,-86115.88461588438,-14859.685583077144,-15453.459674532376,-15916.744281857525,-181795.52189058327,-187500.02235174447,-184399.34365741536,-187500.02235174447
1652215402.967662,-86120.33261303099,-14857.025725486963,-15450.621002986552,-15913.995017289522,-181795.0525039497,-187500.02235174447,-184398.8742707818,-187500.02235174447
1652215402.967672,-86080.39004568936,-14857.13748420924,-15450.352782053089,-15914.039720778434,-181797.3547336286,-187500.02235174447,-184401.02003824952,-187500.02235174447
1652215402.974575,-86061.90515302481,-14853.717667307577,-15446.53063375123,-15910.351682943308,-181795.87951849456,-187500.02235174447,-184399.56717485993,-187500.02235174447
1652215402.974585,-86094.40458946284,-14850.946050995119,-15443.289630805211,-15907.28949395293,-181795.09720743864,-187500.02235174447,-184398.82956729288,-187500.02235174447
1652215402.982599,-86112.35304026045,-14850.74488529502,-15442.842595916105,-15907.043624763923,-181797.26532665078,-187500.02235174447,-184400.93063127168,-187500.02235174447
1652215402.982607,-86075.18208923127,-14848.867338760774,-15440.607421470575,-15905.00961601849,-181797.48884409535,-187500.02235174447,-184401.06474173843,-187500.02235174447
1652215402.989666,-86051.75746104211,-14846.341591637325,-15437.746398180296,-15902.282703194942,-181796.9524022284,-187500.02235174447,-184400.61770684933,-187500.02235174447
1652215402.989677,-86076.05380726502,-14842.541795079924,-15433.611325456062,-15898.281740937442,-181795.32072488317,-187500.02235174447,-184398.91897427072,-187500.02235174447
1652215402.997329,-86096.05861855253,-14840.12780667875,-15430.839709143605,-15895.755993813991,-181795.11955918308,-187500.02235174447,-184398.56134635943,-187500.02235174447
1652215402.997342,-86063.29096118105,-14836.707989777087,-15427.039912586202,-15892.202066445598,-181793.84550974914,-187500.02235174447,-184397.22024169212,-187500.02235174447
1652215403.005245,-86028.44459157523,-14833.98107695354,-15424.022427084736,-15889.273987921953,-181793.19730915994,-187500.02235174447,-184396.48263412507,-187500.02235174447
1652215403.005254,-86048.96349298519,-14832.036475185929,-15421.630790428018,-15887.1505721987,-181793.28671613775,-187500.02235174447,-184396.54968935845,-187500.02235174447
1652215403.012241,-86079.20540323322,-14829.018989684462,-15418.278028759722,-15883.976624486046,-181792.41499810398,-187500.02235174447,-184395.61091609133,-187500.02235174447
