CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
-6562.516875567064,-6613.523556414075,-6590.814184047483,-6650.336879531966,-125799.93168114802,-147008.18324186603,-125156.04497862399,-146317.78255913052
-6574.564465828475,-6622.419550707287,-6597.586762617441,-6655.544835990052,-125804.22321608344,-147011.46894830096,-125157.40843503576,-146317.84961436386
-6574.9220937397595,-6621.614887906896,-6596.06684399448,-6653.443772011254,-125802.09980036019,-147008.98790466643,-125154.16743208974,-146314.11687303983
-6563.209779645179,-6613.031818036058,-6589.54013461353,-6648.504036486631,-125799.55170149228,-147007.26682034336,-125154.32389430093,-146315.56973642943
-6558.471209820654,-6609.768463345584,-6587.237904934634,-6647.051173097036,-125799.73051544793,-147007.95972442147,-125155.97792339063,-146317.89431785277
-6567.434259347232,-6616.026951793069,-6591.507088125598,-6650.068658598502,-125801.96568989346,-147009.3008290888,-125155.73205420162,-146316.37439922983
-6571.0999454379025,-6617.792739605038,-6592.021178248069,-6649.643975453851,-125801.13867534861,-147007.95972442147,-125153.09454835589,-146312.90987883924
-6561.935730211227,-6611.221326735178,-6587.327311912455,-6646.0006411076365,-125799.77521893683,-147007.35622732117,-125153.9886181341,-146314.9885910736
-6554.0232126740475,-6605.521631899075,-6583.013425232581,-6642.781989906071,-125798.65763171407,-147006.88684068763,-125154.94974314568,-146316.91084109675
-6563.478000578642,-6612.629486635863,-6588.511954368586,-6647.2970422860435,-125802.70329746048,-147010.26195410037,-125157.05080712448,-146317.96137308615
-6571.323462882455,-6617.837443093949,-6592.110585225891,-6649.59927196494,-125804.31262306127,-147011.13367213414,-125156.26849606854,-146316.17323352973
-6562.96391045617,-6611.623658135374,-6587.193201445723,-6645.687716685262,-125802.1445038491,-147009.47964304444,-125155.77675769053,-146316.62026841883
-6553.375012084844,-6604.851079565416,-6582.298169410011,-6642.133789316868,-125800.91515790406,-147009.0996633887,-125157.16256584675,-146319.16836728674
-6560.214645888168,-6610.170794745779,-6586.522649112064,-6645.55360621853,-125804.37967829463,-147012.09479714572,-125159.26362982555,-146320.30830625395
-6567.858942491883,-6614.909364570304,-6589.16015495779,-6646.8276556524825,-125804.62554748364,-147011.51365178986,-125156.87199316884,-146316.62026841883
-6562.159247655779,-6610.461367423698,-6585.583875844941,-6643.765466662106,-125802.90446316058,-147010.06078840027,-125156.06733036845,-146316.41910271873
-6551.229244617134,-6602.682960353251,-6579.951236242204,-6639.652745682329,-125801.38454453762,-147009.45729129997,-125157.40843503576,-146319.14601554227
-6557.353622597889,-6607.823861577972,-6584.645102577818,-6643.810170151016,-125806.01135563987,-147013.86058495767,-125161.43174903771,-146322.69994291067
-6566.361375613377,-6613.791777347538,-6588.288436924034,-6646.0006411076365,-125807.195998096,-147013.99469542442,-125159.50949901456,-146319.48129170912
-6561.734564511128,-6609.567297645485,-6584.242771177623,-6642.200844550234,-125804.20086433899,-147011.24543085642,-125156.80493793548,-146316.97789633012
-6549.977546927637,-6601.051283008013,-6578.096041452413,-6637.663440425807,-125802.18920733801,-147010.19489886702,-125157.83311818042,-146319.48129170912
-6550.871616705849,-6601.9230010417705,-6578.990111230625,-6638.60221369293,-125804.0444021278,-147012.07244540125,-125159.8447751814,-146321.47059696564
-6559.119410409858,-6607.041550522036,-6581.672320565262,-6639.853911382426,-125804.29027131682,-147011.29013434533,-125157.11786235785,-146317.26846900804
-6557.3089191089775,-6604.895783054327,-6579.034814719536,-6636.970536347692,-125801.67511721553,-147008.6526284996,-125154.05567336747,-146314.00511431755
-6544.344907324899,-6595.150422471813,-6571.68109079374,-6631.114379300401,-125798.41176252507,-147006.32804707624,-125153.69804545619,-146315.0332945625
-6542.646174746296,-6594.166945715779,-6571.412869860276,-6631.136731044857,-125799.90932940357,-147008.11618663266,-125156.06733036845,-146317.7378556416
-6554.58200628543,-6602.995884775625,-6578.118393196869,-6636.367039247399,-125804.33497480572,-147011.53600353433,-125157.5872489914,-146318.07313180843
-6556.3477940974,-6603.621733620374,-6577.649006563307,-6635.294155513544,-125803.1950358385,-147009.92667793354,-125155.12855710133,-146314.9885910736
-6543.182616613223,-6593.54109687103,-6569.53532332603,-6628.655687410318,-125798.83644566972,-147006.48450928743,-125153.38512103382,-146314.49685269556
